site,cluster,node (not used by script),mac_prod,mac_bmc,ip_admin,ip_prod
sophia,mercantour1,mercantour1-1,e0:db:55:fd:3a:47,e0:db:55:fd:3a:49,172.17.130.1,172.16.130.1
sophia,mercantour1,mercantour1-2,e0:db:55:fd:3a:2f,e0:db:55:fd:3a:31,172.17.130.2,172.16.130.2
sophia,mercantour1,mercantour1-3,e0:db:55:fd:39:96,e0:db:55:fd:39:98,172.17.130.3,172.16.130.3
sophia,mercantour1,mercantour1-4,e0:db:55:fd:39:e7,e0:db:55:fd:39:e9,172.17.130.4,172.16.130.4
sophia,mercantour1,mercantour1-5,e0:db:55:fd:38:5e,e0:db:55:fd:38:60,172.17.130.5,172.16.130.5
sophia,mercantour1,mercantour1-6,e0:db:55:fd:3a:20,e0:db:55:fd:3a:22,172.17.130.6,172.16.130.6
sophia,mercantour1,mercantour1-7,e0:db:55:fd:39:87,e0:db:55:fd:39:89,172.17.130.7,172.16.130.7
sophia,mercantour1,mercantour1-8,e0:db:55:fd:3a:02,e0:db:55:fd:3a:04,172.17.130.8,172.16.130.8
sophia,mercantour1,mercantour1-9,e0:db:55:fd:39:69,e0:db:55:fd:39:6b,172.17.130.9,172.16.130.9
sophia,mercantour1,mercantour1-10,e0:db:55:fd:39:d5,e0:db:55:fd:39:d7,172.17.130.10,172.16.130.10
sophia,mercantour1,mercantour1-11,e0:db:55:fd:38:d9,e0:db:55:fd:38:db,172.17.130.11,172.16.130.11
sophia,mercantour1,mercantour1-12,e0:db:55:fd:38:7f,e0:db:55:fd:38:81,172.17.130.12,172.16.130.12
sophia,mercantour1,mercantour1-13,e0:db:55:fd:2f:d0,e0:db:55:fd:2f:d2,172.17.130.13,172.16.130.13
sophia,mercantour1,mercantour1-14,e0:db:55:fd:39:81,e0:db:55:fd:39:83,172.17.130.14,172.16.130.14
sophia,mercantour1,mercantour1-15,34:17:eb:e7:25:01,34:17:eb:e7:25:03,172.17.130.15,172.16.130.15
sophia,mercantour1,mercantour1-16,e0:db:55:fd:39:ab,e0:db:55:fd:39:ad,172.17.130.16,172.16.130.16
sophia,mercantour2,mercantour2-1,34:17:eb:e8:82:f7,34:17:eb:e8:82:f9,172.17.130.17,172.16.130.17
sophia,mercantour2,mercantour2-2,34:17:eb:e8:81:e6,34:17:eb:e8:81:e8,172.17.130.18,172.16.130.18
sophia,mercantour2,mercantour2-3,34:17:eb:e8:83:7e,34:17:eb:e8:83:80,172.17.130.19,172.16.130.19
sophia,mercantour2,mercantour2-4,34:17:eb:e8:83:75,34:17:eb:e8:83:77,172.17.130.20,172.16.130.20
sophia,mercantour2,mercantour2-5,34:17:eb:e8:83:72,34:17:eb:e8:83:74,172.17.130.21,172.16.130.21
sophia,mercantour2,mercantour2-6,34:17:eb:e8:83:84,34:17:eb:e8:83:86,172.17.130.22,172.16.130.22
sophia,mercantour2,mercantour2-7,34:17:eb:e8:83:00,34:17:eb:e8:83:02,172.17.130.23,172.16.130.23
sophia,mercantour2,mercantour2-8,34:17:eb:e8:82:bb,34:17:eb:e8:82:bd,172.17.130.24,172.16.130.24
sophia,mercantour3,mercantour3-1,50:9a:4c:6c:38:af,50:9a:4c:6c:32:83,172.17.130.25,172.16.130.25
sophia,mercantour3,mercantour3-2,50:9a:4c:6c:39:82,50:9a:4c:6c:37:75,172.17.130.26,172.16.130.26
sophia,mercantour3,mercantour3-3,50:9a:4c:6c:38:d9,50:9a:4c:6c:33:7f,172.17.130.27,172.16.130.27
sophia,mercantour3,mercantour3-4,50:9a:4c:6c:39:53,50:9a:4c:6c:36:5b,172.17.130.28,172.16.130.28
sophia,mercantour3,mercantour3-5,50:9a:4c:6c:38:9e,50:9a:4c:6c:32:1d,172.17.130.29,172.16.130.29
sophia,mercantour3,mercantour3-6,50:9a:4c:6c:39:31,50:9a:4c:6c:35:8f,172.17.130.30,172.16.130.30
sophia,mercantour3,mercantour3-7,50:9a:4c:6b:5d:b0,50:9a:4c:6b:54:b9,172.17.130.31,172.16.130.31
sophia,mercantour3,mercantour3-8,50:9a:4c:85:c8:15,50:9a:4c:85:c5:28,172.17.130.32,172.16.130.32
sophia,mercantour3,mercantour3-9,50:9a:4c:70:fa:7a,50:9a:4c:70:f6:58,172.17.130.33,172.16.130.33
sophia,mercantour3,mercantour3-10,50:9a:4c:70:fa:3c,50:9a:4c:70:f7:cc,172.17.130.34,172.16.130.34
sophia,mercantour3,mercantour3-11,50:9a:4c:70:fa:7c,50:9a:4c:70:f6:4c,172.17.130.35,172.16.130.35
sophia,mercantour3,mercantour3-12,50:9a:4c:70:aa:e1,50:9a:4c:70:a4:06,172.17.130.36,172.16.130.36
sophia,mercantour3,mercantour3-13,50:9a:4c:6c:38:ad,50:9a:4c:6c:32:77,172.17.130.37,172.16.130.37
sophia,mercantour3,mercantour3-14,50:9a:4c:6c:38:6b,50:9a:4c:6c:30:eb,172.17.130.38,172.16.130.38
sophia,mercantour3,mercantour3-15,50:9a:4c:6c:39:85,50:9a:4c:6c:37:87,172.17.130.39,172.16.130.39
sophia,mercantour3,mercantour3-16,50:9a:4c:6c:39:89,50:9a:4c:6c:37:9f,172.17.130.40,172.16.130.40
sophia,mercantour4,mercantour4-1,24:6e:96:81:28:dc,50:9a:4c:65:5d:38,172.17.130.41,172.16.130.41
