ID  | Name             | Type                     | Reading    | Units       | Event
0   | UID              | OEM Reserved             | N/A        | N/A         | 'OEM Event = 0001h'
1   | SysHealth_Stat   | Chassis                  | N/A        | N/A         | 'transition to OK'
2   | 01-Inlet Ambient | Temperature              | 14.00      | C           | 'OK'
3   | 02-CPU 1         | Temperature              | 40.00      | C           | 'OK'
4   | 03-CPU 2         | Temperature              | 40.00      | C           | 'OK'
5   | 108-CPU 1 PkgTmp | Temperature              | 41.00      | C           | 'OK'
6   | 109-CPU 2 PkgTmp | Temperature              | 42.00      | C           | 'OK'
7   | 04-P1 DIMM 1-8   | Temperature              | 26.00      | C           | 'OK'
8   | 05-P1 DIMM 9-16  | Temperature              | 26.00      | C           | 'OK'
9   | 06-P2 DIMM 1-8   | Temperature              | 25.00      | C           | 'OK'
10  | 07-P2 DIMM 9-16  | Temperature              | 25.00      | C           | 'OK'
11  | 08-HD Max        | Temperature              | 35.00      | C           | 'OK'
12  | 09-Exp Bay Drive | Temperature              | N/A        | C           | N/A
13  | 10-Stor Batt     | Temperature              | 17.00      | C           | 'OK'
14  | 11-Board Inlet   | Temperature              | 21.00      | C           | 'OK'
15  | 12-VR P1         | Temperature              | 28.00      | C           | 'OK'
16  | 13-VR P2         | Temperature              | 29.00      | C           | 'OK'
17  | 14-VR P1 Mem 1   | Temperature              | 35.00      | C           | 'OK'
18  | 15-VR P1 Mem 2   | Temperature              | 35.00      | C           | 'OK'
19  | 16-VR P2 Mem 1   | Temperature              | 34.00      | C           | 'OK'
20  | 17-VR P2 Mem 2   | Temperature              | 35.00      | C           | 'OK'
21  | 18-BMC           | Temperature              | 51.00      | C           | 'OK'
22  | 19-BMC Zone      | Temperature              | 25.00      | C           | 'OK'
23  | 20-HD Controller | Temperature              | 46.00      | C           | 'OK'
24  | 21-HD Cntlr Zone | Temperature              | 25.00      | C           | 'OK'
25  | 23-LOM Card Zone | Temperature              | 40.00      | C           | 'OK'
26  | 24-PCI 17        | Temperature              | N/A        | C           | N/A
27  | 25-PCI 17 Zone   | Temperature              | 44.00      | C           | 'OK'
28  | 26-PCI 18        | Temperature              | N/A        | C           | N/A
29  | 27-PCI 18 Zone   | Temperature              | 44.00      | C           | 'OK'
30  | 28-PCI 19        | Temperature              | N/A        | C           | N/A
31  | 29-PCI 19 Zone   | Temperature              | 40.00      | C           | 'OK'
32  | 30-PCI 20        | Temperature              | 35.00      | C           | 'OK'
33  | 31-PCI 20 Zone   | Temperature              | 40.00      | C           | 'OK'
34  | 32-PCI 21        | Temperature              | 40.00      | C           | 'OK'
35  | 33-PCI 21 Zone   | Temperature              | 40.00      | C           | 'OK'
36  | 34-PCI 22        | Temperature              | N/A        | C           | N/A
37  | 35-PCI 22 Zone   | Temperature              | 40.00      | C           | 'OK'
38  | 38-Battery Zone  | Temperature              | 40.00      | C           | 'OK'
39  | 41-PCIe Switch 1 | Temperature              | 40.00      | C           | 'OK'
40  | 42-PCIe Switch 2 | Temperature              | 40.00      | C           | 'OK'
