+-------------+----------------------+-------+-------+--------+---------------------------+------+------------+--------------------------------+
| cluster     | host                 | cpu   | core  | cpuset | cpumodel                  | gpu  | gpudevice  | gpumodel                       |
+-------------+----------------------+-------+-------+--------+---------------------------+------+------------+--------------------------------+
| clustera    | clustera-1           | 1     | 1     | 0      | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 2     | 1      | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 3     | 2      | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 4     | 3      | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 5     | 4      | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 6     | 5      | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 7     | 6      | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 8     | 7      | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 9     | 8      | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 10    | 9      | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 11    | 10     | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 12    | 11     | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 13    | 12     | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 14    | 13     | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 15    | 14     | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 16    | 15     | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 17    | 16     | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 18    | 17     | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 19    | 18     | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 20    | 19     | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 21    | 20     | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 22    | 21     | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 23    | 22     | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 1     | 24    | 23     | AMD EPYC 7413             | 1    | 0          | A40                            |
| clustera    | clustera-1           | 2     | 25    | 24     | AMD EPYC 7413             | 2    | 1          | A40                            |
| clustera    | clustera-1           | 2     | 26    | 25     | AMD EPYC 7413             | 2    | 1          | A40                            |
| clustera    | clustera-1           | 2     | 27    | 26     | AMD EPYC 7413             | 2    | 1          | A40                            |
| clustera    | clustera-1           | 2     | 28    | 27     | AMD EPYC 7413             | 2    | 1          | A40                            |
| clustera    | clustera-1           | 2     | 29    | 28     | AMD EPYC 7413             | 2    | 1          | A40                            |
| clustera    | clustera-1           | 2     | 30    | 29     | AMD EPYC 7413             | 2    | 1          | A40                            |
| clustera    | clustera-1           | 2     | 31    | 30     | AMD EPYC 7413             | 2    | 1          | A40                            |
| clustera    | clustera-1           | 2     | 32    | 31     | AMD EPYC 7413             | 2    | 1          | A40                            |
| clustera    | clustera-1           | 2     | 33    | 32     | AMD EPYC 7413             | 2    | 1          | A40                            |
| clustera    | clustera-1           | 2     | 34    | 33     | AMD EPYC 7413             | 2    | 1          | A40                            |
| clustera    | clustera-1           | 2     | 35    | 34     | AMD EPYC 7413             | 2    | 1          | A40                            |
| clustera    | clustera-1           | 2     | 36    | 35     | AMD EPYC 7413             | 2    | 1          | A40                            |
| clustera    | clustera-1           | 2     | 37    | 36     | AMD EPYC 7413             | 3    | 2          | A40                            |
| clustera    | clustera-1           | 2     | 38    | 37     | AMD EPYC 7413             | 3    | 2          | A40                            |
| clustera    | clustera-1           | 2     | 39    | 38     | AMD EPYC 7413             | 3    | 2          | A40                            |
| clustera    | clustera-1           | 2     | 40    | 39     | AMD EPYC 7413             | 3    | 2          | A40                            |
| clustera    | clustera-1           | 2     | 41    | 40     | AMD EPYC 7413             | 3    | 2          | A40                            |
| clustera    | clustera-1           | 2     | 42    | 41     | AMD EPYC 7413             | 3    | 2          | A40                            |
