+---------- + -------------------- + ----- + ----- + -------- + ---- + -------------------- + ------------------------------ + ------------------------------+
|   cluster | host                 | cpu   | core  | cpuset   | gpu  | gpudevice            | cpumodel                       | gpumodel                      |
+---------- + -------------------- + ----- + ----- + -------- + ---- + -------------------- + ------------------------------ + ------------------------------+
|  clustera | clustera-1           | 1     | 1     | 0        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 2     | 2        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 3     | 4        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 4     | 6        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 5     | 8        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 6     | 10       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 7     | 12       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 8     | 14       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 9     | 16       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 10    | 18       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 11    | 20       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 12    | 22       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 13    | 24       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 14    | 26       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 15    | 28       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 16    | 30       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 2     | 17    | 1        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 2     | 18    | 3        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 2     | 19    | 5        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 2     | 20    | 7        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 2     | 21    | 9        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 2     | 22    | 11       |      |                      | Intel Xeon Gold 6130           |                               |
