+-------------+----------------------+-------+-------+--------+---------------------------+------+------------+--------------------------------+
| cluster     | host                 | cpu   | core  | cpuset | cpumodel                  | gpu  | gpudevice  | gpumodel                       |
+-------------+----------------------+-------+-------+--------+---------------------------+------+------------+--------------------------------+
| clustera    | clustera-1           | 1     | 1     | 0      | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 2     | 1      | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 3     | 2      | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 4     | 3      | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 5     | 4      | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 6     | 5      | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 7     | 6      | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 8     | 7      | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 9     | 8      | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 10    | 9      | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 11    | 10     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 12    | 11     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 13    | 12     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 14    | 13     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 15    | 14     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 16    | 15     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 17    | 16     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 18    | 17     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 19    | 18     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 20    | 19     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 21    | 20     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 22    | 21     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 23    | 22     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 24    | 23     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 25    | 24     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 26    | 25     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 27    | 26     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 28    | 27     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 29    | 28     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 30    | 29     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 31    | 30     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 1     | 32    | 31     | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 33    | 128    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 34    | 129    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 35    | 130    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 36    | 131    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 37    | 132    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 38    | 133    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 39    | 134    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 40    | 135    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 41    | 136    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 42    | 137    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 43    | 138    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 44    | 139    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 45    | 140    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 46    | 141    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 47    | 142    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 48    | 143    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 49    | 144    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 50    | 145    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 51    | 146    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 52    | 147    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 53    | 148    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 54    | 149    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 55    | 150    | ThunderX2 99xx            |      |            |                                |
| clustera    | clustera-1           | 2     | 56    | 151    | ThunderX2 99xx            |      |            |                                |
