+-------------+----------------------+-------+-------+--------+---------------------------+------+------------+--------------------------------+
| cluster     | host                 | cpu   | core  | cpuset | cpumodel                  | gpu  | gpudevice  | gpumodel                       |
+-------------+----------------------+-------+-------+--------+---------------------------+------+------------+--------------------------------+
| clustera    | clustera-1           | 1615  | 8527  | 0      | Intel Xeon Silver 4110    | 53   | 0          | GeForce RTX 2080 Ti            |
| clustera    | clustera-1           | 1615  | 8528  | 2      | Intel Xeon Silver 4110    | 53   | 0          | GeForce RTX 2080 Ti            |
| clustera    | clustera-1           | 1615  | 8529  | 4      | Intel Xeon Silver 4110    | 53   | 0          | GeForce RTX 2080 Ti            |
| clustera    | clustera-1           | 1615  | 8530  | 6      | Intel Xeon Silver 4110    | 53   | 0          | GeForce RTX 2080 Ti            |
| clustera    | clustera-1           | 1615  | 8531  | 8      | Intel Xeon Silver 4110    | 54   | 1          | GeForce RTX 2080 Ti            |
| clustera    | clustera-1           | 1615  | 8532  | 10     | Intel Xeon Silver 4110    | 54   | 1          | GeForce RTX 2080 Ti            |
| clustera    | clustera-1           | 1615  | 8533  | 12     | Intel Xeon Silver 4110    | 54   | 1          | GeForce RTX 2080 Ti            |
| clustera    | clustera-1           | 1615  | 8534  | 14     | Intel Xeon Silver 4110    | 54   | 1          | GeForce RTX 2080 Ti            |
| clustera    | clustera-1           | 1616  | 8535  | 1      | Intel Xeon Silver 4110    | 55   | 2          | GeForce RTX 2080 Ti            |
| clustera    | clustera-1           | 1616  | 8536  | 3      | Intel Xeon Silver 4110    | 55   | 2          | GeForce RTX 2080 Ti            |
| clustera    | clustera-1           | 1616  | 8537  | 5      | Intel Xeon Silver 4110    | 55   | 2          | GeForce RTX 2080 Ti            |
| clustera    | clustera-1           | 1616  | 8538  | 7      | Intel Xeon Silver 4110    | 55   | 2          | GeForce RTX 2080 Ti            |
| clustera    | clustera-1           | 1616  | 8539  | 9      | Intel Xeon Silver 4110    | 56   | 3          | GeForce RTX 2080 Ti            |
| clustera    | clustera-1           | 1616  | 8540  | 11     | Intel Xeon Silver 4110    | 56   | 3          | GeForce RTX 2080 Ti            |
| clustera    | clustera-1           | 1616  | 8541  | 13     | Intel Xeon Silver 4110    | 56   | 3          | GeForce RTX 2080 Ti            |
| clustera    | clustera-1           | 1616  | 8542  | 15     | Intel Xeon Silver 4110    | 56   | 3          | GeForce RTX 2080 Ti            |
+-------------+----------------------+-------+-------+--------+---------------------------+------+------------+--------------------------------+
| clustera    | clustera-2           | 1617  | 8543  | 0      | Intel Xeon Silver 4110    | 57   | 0          | GeForce RTX 2080 Ti            |
| clustera    | clustera-2           | 1617  | 8544  | 2      | Intel Xeon Silver 4110    | 57   | 0          | GeForce RTX 2080 Ti            |
| clustera    | clustera-2           | 1617  | 8545  | 4      | Intel Xeon Silver 4110    | 57   | 0          | GeForce RTX 2080 Ti            |
| clustera    | clustera-2           | 1617  | 8546  | 6      | Intel Xeon Silver 4110    | 57   | 0          | GeForce RTX 2080 Ti            |
| clustera    | clustera-2           | 1617  | 8547  | 8      | Intel Xeon Silver 4110    | 58   | 1          | GeForce RTX 2080 Ti            |
| clustera    | clustera-2           | 1617  | 8548  | 10     | Intel Xeon Silver 4110    | 58   | 1          | GeForce RTX 2080 Ti            |
| clustera    | clustera-2           | 1617  | 8549  | 12     | Intel Xeon Silver 4110    | 58   | 1          | GeForce RTX 2080 Ti            |
| clustera    | clustera-2           | 1617  | 8550  | 14     | Intel Xeon Silver 4110    | 58   | 1          | GeForce RTX 2080 Ti            |
| clustera    | clustera-2           | 1618  | 8551  | 1      | Intel Xeon Silver 4110    | 59   | 2          | GeForce RTX 2080 Ti            |
| clustera    | clustera-2           | 1618  | 8552  | 3      | Intel Xeon Silver 4110    | 59   | 2          | GeForce RTX 2080 Ti            |
| clustera    | clustera-2           | 1618  | 8553  | 5      | Intel Xeon Silver 4110    | 59   | 2          | GeForce RTX 2080 Ti            |
| clustera    | clustera-2           | 1618  | 8554  | 7      | Intel Xeon Silver 4110    | 59   | 2          | GeForce RTX 2080 Ti            |
| clustera    | clustera-2           | 1618  | 8555  | 9      | Intel Xeon Silver 4110    | 59   | 2          | GeForce RTX 2080 Ti            |
| clustera    | clustera-2           | 1618  | 8556  | 11     | Intel Xeon Silver 4110    | 59   | 2          | GeForce RTX 2080 Ti            |
| clustera    | clustera-2           | 1618  | 8557  | 13     | Intel Xeon Silver 4110    | 59   | 2          | GeForce RTX 2080 Ti            |
| clustera    | clustera-2           | 1618  | 8558  | 15     | Intel Xeon Silver 4110    | 59   | 2          | GeForce RTX 2080 Ti            |
+-------------+----------------------+-------+-------+--------+---------------------------+------+------------+--------------------------------+
| clustera    | clustera-3           | 1619  | 8559  | 0      | Intel Xeon Silver 4110    | 61   | 0          | GeForce RTX 2080 Ti            |
| clustera    | clustera-3           | 1619  | 8560  | 2      | Intel Xeon Silver 4110    | 61   | 0          | GeForce RTX 2080 Ti            |
| clustera    | clustera-3           | 1619  | 8561  | 4      | Intel Xeon Silver 4110    | 61   | 0          | GeForce RTX 2080 Ti            |
| clustera    | clustera-3           | 1619  | 8562  | 6      | Intel Xeon Silver 4110    | 61   | 0          | GeForce RTX 2080 Ti            |
| clustera    | clustera-3           | 1619  | 8563  | 8      | Intel Xeon Silver 4110    | 62   | 1          | GeForce RTX 2080 Ti            |
| clustera    | clustera-3           | 1619  | 8564  | 10     | Intel Xeon Silver 4110    | 62   | 1          | GeForce RTX 2080 Ti            |
| clustera    | clustera-3           | 1619  | 8565  | 12     | Intel Xeon Silver 4110    | 62   | 1          | GeForce RTX 2080 Ti            |
| clustera    | clustera-3           | 1619  | 8566  | 14     | Intel Xeon Silver 4110    | 62   | 1          | GeForce RTX 2080 Ti            |
| clustera    | clustera-3           | 1620  | 8567  | 1      | Intel Xeon Silver 4110    | 63   | 2          | GeForce RTX 2080 Ti            |
| clustera    | clustera-3           | 1620  | 8568  | 3      | Intel Xeon Silver 4110    | 63   | 2          | GeForce RTX 2080 Ti            |
