+---------- + -------------------- + ----- + ----- + -------- + ---- + -------------------- + ------------------------------ + ------------------------------+
|   cluster | host                 | cpu   | core  | cpuset   | gpu  | gpudevice            | cpumodel                       | gpumodel                      |
+---------- + -------------------- + ----- + ----- + -------- + ---- + -------------------- + ------------------------------ + ------------------------------+
|  clustera | clustera-1           | 1     | 1     | 0        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-1           | 1     | 2     | 2        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-1           | 1     | 3     | 4        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-1           | 1     | 4     | 6        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-1           | 1     | 5     | 8        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-1           | 1     | 6     | 10       |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-1           | 1     | 7     | 12       |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-1           | 1     | 8     | 14       |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-1           | 2     | 9     | 1        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-1           | 2     | 10    | 3        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-1           | 2     | 11    | 5        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-1           | 2     | 12    | 7        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-1           | 2     | 13    | 9        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-1           | 2     | 14    | 11       |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-1           | 2     | 15    | 13       |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-1           | 2     | 16    | 15       |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 3     | 17    | 0        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 3     | 18    | 2        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 3     | 19    | 4        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 3     | 20    | 6        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 3     | 21    | 8        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 3     | 22    | 10       |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 3     | 23    | 12       |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 3     | 24    | 14       |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 4     | 25    | 1        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 4     | 26    | 3        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 4     | 27    | 5        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 4     | 28    | 7        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 4     | 29    | 9        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 4     | 30    | 11       |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 4     | 31    | 13       |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-2           | 4     | 32    | 15       |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-3           | 5     | 33    | 0        |      |                      | Intel Xeon E5-2650             |                               |
|  clustera | clustera-3           | 5     | 34    | 2        |      |                      | Intel Xeon E5-2650             |                               |
