+-------------+----------------------+-------+-------+--------+---------------------------+------+------------+--------------------------------+
| cluster     | host                 | cpu   | core  | cpuset | cpumodel                  | gpu  | gpudevice  | gpumodel                       |
+-------------+----------------------+-------+-------+--------+---------------------------+------+------------+--------------------------------+
| clustera    | clustera-1           | 1765  | 10967 | 0      | AMD EPYC 7351             | 105  | 0          | Tesla T4                       |
| clustera    | clustera-1           | 1765  | 10968 | 2      | AMD EPYC 7351             | 106  | 1          | Tesla T4                       |
| clustera    | clustera-1           | 1765  | 10969 | 4      | AMD EPYC 7351             | 105  | 0          | Tesla T4                       |
| clustera    | clustera-1           | 1765  | 10970 | 6      | AMD EPYC 7351             | 106  | 1          | Tesla T4                       |
| clustera    | clustera-1           | 1765  | 10971 | 8      | AMD EPYC 7351             | 105  | 0          | Tesla T4                       |
| clustera    | clustera-1           | 1765  | 10972 | 10     | AMD EPYC 7351             | 106  | 1          | Tesla T4                       |
| clustera    | clustera-1           | 1765  | 10973 | 12     | AMD EPYC 7351             | 105  | 0          | Tesla T4                       |
| clustera    | clustera-1           | 1765  | 10974 | 14     | AMD EPYC 7351             | 106  | 1          | Tesla T4                       |
| clustera    | clustera-1           | 1765  | 10975 | 16     | AMD EPYC 7351             | 105  | 0          | Tesla T4                       |
| clustera    | clustera-1           | 1765  | 10976 | 18     | AMD EPYC 7351             | 106  | 1          | Tesla T4                       |
| clustera    | clustera-1           | 1765  | 10977 | 20     | AMD EPYC 7351             | 105  | 0          | Tesla T4                       |
| clustera    | clustera-1           | 1765  | 10978 | 22     | AMD EPYC 7351             | 106  | 1          | Tesla T4                       |
| clustera    | clustera-1           | 1765  | 10979 | 24     | AMD EPYC 7351             | 105  | 0          | Tesla T4                       |
| clustera    | clustera-1           | 1765  | 10980 | 26     | AMD EPYC 7351             | 106  | 1          | Tesla T4                       |
| clustera    | clustera-1           | 1765  | 10981 | 28     | AMD EPYC 7351             | 105  | 0          | Tesla T4                       |
| clustera    | clustera-1           | 1765  | 10982 | 30     | AMD EPYC 7351             | 106  | 1          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10983 | 1      | AMD EPYC 7351             | 107  | 2          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10984 | 3      | AMD EPYC 7351             | 108  | 3          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10985 | 5      | AMD EPYC 7351             | 108  | 3          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10986 | 7      | AMD EPYC 7351             | 107  | 2          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10987 | 9      | AMD EPYC 7351             | 107  | 2          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10988 | 11     | AMD EPYC 7351             | 108  | 3          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10989 | 13     | AMD EPYC 7351             | 108  | 3          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10990 | 15     | AMD EPYC 7351             | 107  | 2          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10991 | 17     | AMD EPYC 7351             | 107  | 2          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10992 | 19     | AMD EPYC 7351             | 108  | 3          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10993 | 21     | AMD EPYC 7351             | 108  | 3          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10994 | 23     | AMD EPYC 7351             | 107  | 2          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10995 | 25     | AMD EPYC 7351             | 107  | 2          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10996 | 27     | AMD EPYC 7351             | 108  | 3          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10997 | 29     | AMD EPYC 7351             | 108  | 3          | Tesla T4                       |
| clustera    | clustera-1           | 1766  | 10998 | 31     | AMD EPYC 7351             | 107  | 2          | Tesla T4                       |
+-------------+----------------------+-------+-------+--------+---------------------------+------+------------+--------------------------------+
| clustera    | clustera-2           | 1767  | 10999 | 0      | AMD EPYC 7351             | 109  | 0          | Tesla T4                       |
| clustera    | clustera-2           | 1767  | 11000 | 2      | AMD EPYC 7351             | 110  | 1          | Tesla T4                       |
| clustera    | clustera-2           | 1767  | 11001 | 4      | AMD EPYC 7351             | 109  | 0          | Tesla T4                       |
| clustera    | clustera-2           | 1767  | 11002 | 6      | AMD EPYC 7351             | 110  | 1          | Tesla T4                       |
| clustera    | clustera-2           | 1767  | 11003 | 8      | AMD EPYC 7351             | 109  | 0          | Tesla T4                       |
| clustera    | clustera-2           | 1767  | 11004 | 10     | AMD EPYC 7351             | 110  | 1          | Tesla T4                       |
| clustera    | clustera-2           | 1767  | 11005 | 12     | AMD EPYC 7351             | 109  | 0          | Tesla T4                       |
| clustera    | clustera-2           | 1767  | 11006 | 14     | AMD EPYC 7351             | 110  | 1          | Tesla T4                       |
| clustera    | clustera-2           | 1767  | 11007 | 16     | AMD EPYC 7351             | 109  | 0          | Tesla T4                       |
| clustera    | clustera-2           | 1767  | 11008 | 18     | AMD EPYC 7351             | 110  | 1          | Tesla T4                       |
| clustera    | clustera-2           | 1767  | 11009 | 20     | AMD EPYC 7351             | 109  | 0          | Tesla T4                       |
| clustera    | clustera-2           | 1767  | 11010 | 22     | AMD EPYC 7351             | 110  | 1          | Tesla T4                       |
| clustera    | clustera-2           | 1767  | 11011 | 24     | AMD EPYC 7351             | 109  | 0          | Tesla T4                       |
| clustera    | clustera-2           | 1767  | 11012 | 26     | AMD EPYC 7351             | 110  | 1          | Tesla T4                       |
| clustera    | clustera-2           | 1767  | 11013 | 28     | AMD EPYC 7351             | 109  | 0          | Tesla T4                       |
| clustera    | clustera-2           | 1767  | 11014 | 30     | AMD EPYC 7351             | 110  | 1          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11015 | 1      | AMD EPYC 7351             | 111  | 2          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11016 | 3      | AMD EPYC 7351             | 112  | 3          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11017 | 5      | AMD EPYC 7351             | 112  | 3          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11018 | 7      | AMD EPYC 7351             | 111  | 2          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11019 | 9      | AMD EPYC 7351             | 111  | 2          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11020 | 11     | AMD EPYC 7351             | 112  | 3          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11021 | 13     | AMD EPYC 7351             | 112  | 3          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11022 | 15     | AMD EPYC 7351             | 111  | 2          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11023 | 17     | AMD EPYC 7351             | 111  | 2          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11024 | 19     | AMD EPYC 7351             | 112  | 3          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11025 | 21     | AMD EPYC 7351             | 112  | 3          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11026 | 23     | AMD EPYC 7351             | 111  | 2          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11027 | 25     | AMD EPYC 7351             | 111  | 2          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11028 | 27     | AMD EPYC 7351             | 112  | 3          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11029 | 29     | AMD EPYC 7351             | 112  | 3          | Tesla T4                       |
| clustera    | clustera-2           | 1768  | 11030 | 31     | AMD EPYC 7351             | 111  | 2          | Tesla T4                       |
+-------------+----------------------+-------+-------+--------+---------------------------+------+------------+--------------------------------+
| clustera    | clustera-3           | 1769  | 11031 | 0      | AMD EPYC 7351             | 113  | 0          | Tesla T4                       |
| clustera    | clustera-3           | 1769  | 11032 | 2      | AMD EPYC 7351             | 114  | 1          | Tesla T4                       |
| clustera    | clustera-3           | 1769  | 11033 | 4      | AMD EPYC 7351             | 113  | 0          | Tesla T4                       |
| clustera    | clustera-3           | 1769  | 11034 | 6      | AMD EPYC 7351             | 114  | 1          | Tesla T4                       |
| clustera    | clustera-3           | 1769  | 11035 | 8      | AMD EPYC 7351             | 113  | 0          | Tesla T4                       |
| clustera    | clustera-3           | 1769  | 11036 | 10     | AMD EPYC 7351             | 114  | 1          | Tesla T4                       |
| clustera    | clustera-3           | 1769  | 11037 | 12     | AMD EPYC 7351             | 113  | 0          | Tesla T4                       |
| clustera    | clustera-3           | 1769  | 11038 | 14     | AMD EPYC 7351             | 114  | 1          | Tesla T4                       |
| clustera    | clustera-3           | 1769  | 11039 | 16     | AMD EPYC 7351             | 113  | 0          | Tesla T4                       |
| clustera    | clustera-3           | 1769  | 11040 | 18     | AMD EPYC 7351             | 114  | 1          | Tesla T4                       |
| clustera    | clustera-3           | 1769  | 11041 | 20     | AMD EPYC 7351             | 113  | 0          | Tesla T4                       |
| clustera    | clustera-3           | 1769  | 11042 | 22     | AMD EPYC 7351             | 114  | 1          | Tesla T4                       |
| clustera    | clustera-3           | 1769  | 11043 | 24     | AMD EPYC 7351             | 113  | 0          | Tesla T4                       |
| clustera    | clustera-3           | 1769  | 11044 | 26     | AMD EPYC 7351             | 114  | 1          | Tesla T4                       |
| clustera    | clustera-3           | 1769  | 11045 | 28     | AMD EPYC 7351             | 113  | 0          | Tesla T4                       |
| clustera    | clustera-3           | 1769  | 11046 | 30     | AMD EPYC 7351             | 114  | 1          | Tesla T4                       |
| clustera    | clustera-3           | 1770  | 11047 | 1      | AMD EPYC 7351             | 115  | 2          | Tesla T4                       |
| clustera    | clustera-3           | 1770  | 11048 | 3      | AMD EPYC 7351             | 116  | 3          | Tesla T4                       |
| clustera    | clustera-3           | 1770  | 11049 | 5      | AMD EPYC 7351             | 116  | 3          | Tesla T4                       |
| clustera    | clustera-3           | 1770  | 11050 | 7      | AMD EPYC 7351             | 115  | 2          | Tesla T4                       |
| clustera    | clustera-3           | 1770  | 11051 | 9      | AMD EPYC 7351             | 115  | 2          | Tesla T4                       |
| clustera    | clustera-3           | 1770  | 11052 | 11     | AMD EPYC 7351             | 116  | 3          | Tesla T4                       |
| clustera    | clustera-3           | 1770  | 11053 | 13     | AMD EPYC 7351             | 116  | 3          | Tesla T4                       |
| clustera    | clustera-3           | 1770  | 11054 | 15     | AMD EPYC 7351             | 115  | 2          | Tesla T4                       |
