+---------- + -------------------- + ----- + ----- + -------- + ---- + -------------------- + ------------------------------ + ------------------------------+
|   cluster | host                 | cpu   | core  | cpuset   | gpu  | gpudevice            | cpumodel                       | gpumodel                      |
+---------- + -------------------- + ----- + ----- + -------- + ---- + -------------------- + ------------------------------ + ------------------------------+
|  clustera | clustera-1           | 1     | 1     | 0        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 2     | 4        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 3     | 8        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 4     | 12       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 5     | 16       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 6     | 20       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 7     | 24       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 8     | 28       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 9     | 32       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 10    | 36       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 11    | 40       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 12    | 44       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 13    | 48       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 14    | 52       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 15    | 56       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 1     | 16    | 60       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 2     | 17    | 1        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 2     | 18    | 5        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 2     | 19    | 9        |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 2     | 20    | 13       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 2     | 21    | 17       |      |                      | Intel Xeon Gold 6130           |                               |
|  clustera | clustera-1           | 2     | 22    | 21       |      |                      | Intel Xeon Gold 6130           |                               |
